               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,              2.0005,              1.7368,              1.7707,             0.77152,             0.91667,              0.9055,             0.54997,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              2.0412,              1.6797,              1.7709,             0.83127,             0.91667,             0.94293,             0.56883,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              1.9773,              1.5185,              1.7267,             0.80376,             0.85369,             0.93499,             0.57969,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              1.9673,              1.5255,              1.7267,             0.78906,             0.93554,             0.89879,             0.59524,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              1.9513,              1.4674,              1.7058,             0.91416,             0.88778,             0.93765,             0.56904,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              1.9772,              1.6265,              1.6948,             0.89144,             0.83333,             0.92984,             0.59267,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              1.9868,               1.436,              1.6724,             0.83736,             0.83333,             0.93108,             0.58597,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,              1.9905,               1.628,              1.7355,             0.83606,             0.85039,             0.91567,             0.52908,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,              1.9839,              1.6066,              1.7404,             0.77312,             0.91667,              0.9376,             0.60818,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              1.9578,              1.5051,              1.7666,             0.91653,             0.91667,             0.94836,             0.60516,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              1.9274,              1.4387,              1.6814,             0.95613,             0.90842,             0.97947,             0.62819,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              1.8162,               1.418,              1.6116,             0.85544,              0.9866,             0.97925,             0.62403,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              1.7936,              1.4725,              1.6548,             0.91434,             0.95833,             0.96682,             0.59168,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
