speed,liscence,overspeeding
0,0407 DSL,N
0,5696 GXS,N
6.96774193548387,6861GNZ,N
0,5690JBG,N
0,0243GGJ,N
6.428571428571429,0752GJR,N
6.666666666666666,1245 HYR,N
6.7924528301886795,6380 CCS,N
8.64,9079 GCH,N
6.835443037974684,EREAOEE,N
0,-,N
7.105263157894737,L0262 HFP,N
6.352941176470588,8934FMR,N
6.067415730337078,-ZV,N
6.96774193548387,3092FRX,N
0,42340ZK,N
0,0526HGN,N
0,4557JMF,N
